MCS_value, Channel_width_MHz,  short_GI, Throughput_Mbits_per_s,  Distance_m,Protocol
7,		20 , 		0,		54.1158 , 		16,tcp
7,		20 , 		1,		59.2058 , 		16,tcp
7,		40 , 		0,		107.142 , 		16,tcp
7,		40 , 		1,		117.969 , 		16,tcp
0,		20 , 		0,		5.38193 , 		17,tcp
0,		20 , 		1,		5.92985 , 		17,tcp
0,		40 , 		0,		11.0708 , 		17,tcp
0,		40 , 		1,		12.2976 , 		17,tcp
1,		20 , 		0,		10.7453 , 		17,tcp
1,		20 , 		1,		11.9975 , 		17,tcp
1,		40 , 		0,		22.3525 , 		17,tcp
1,		40 , 		1,		24.8373 , 		17,tcp
2,		20 , 		0,		16.2083 , 		17,tcp
2,		20 , 		1,		17.8567 , 		17,tcp
2,		40 , 		0,		33.3156 , 		17,tcp
2,		40 , 		1,		37.297 , 		17,tcp
3,		20 , 		0,		21.3945 , 		17,tcp
3,		20 , 		1,		23.6487 , 		17,tcp
3,		40 , 		0,		44.2879 , 		17,tcp
3,		40 , 		1,		49.2563 , 		17,tcp
4,		20 , 		0,		32.5093 , 		17,tcp
4,		20 , 		1,		35.8675 , 		17,tcp
4,		40 , 		0,		67.0378 , 		17,tcp
4,		40 , 		1,		73.7148 , 		17,tcp
5,		20 , 		0,		43.623 , 		17,tcp
5,		20 , 		1,		48.0516 , 		17,tcp
5,		40 , 		0,		87.721 , 		17,tcp
5,		40 , 		1,		96.1171 , 		17,tcp
6,		20 , 		0,		48.0609 , 		17,tcp
6,		20 , 		1,		54.3533 , 		17,tcp
6,		40 , 		0,		97.1979 , 		17,tcp
6,		40 , 		1,		105.811 , 		17,tcp
7,		20 , 		0,		53.9849 , 		17,tcp
7,		20 , 		1,		60.2159 , 		17,tcp
7,		40 , 		0,		106.886 , 		17,tcp
7,		40 , 		1,		118.202 , 		17,tcp
0,		20 , 		0,		5.35644 , 		18,tcp
0,		20 , 		1,		5.99935 , 		18,tcp
0,		40 , 		0,		11.0187 , 		18,tcp
0,		40 , 		1,		12.3856 , 		18,tcp
1,		20 , 		0,		10.7534 , 		18,tcp
1,		20 , 		1,		11.8968 , 		18,tcp
1,		40 , 		0,		22.2158 , 		18,tcp
1,		40 , 		1,		24.6716 , 		18,tcp
2,		20 , 		0,		16.1852 , 		18,tcp
2,		20 , 		1,		17.932 , 		18,tcp
